star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.1800286774840274,1.0,0.0004442556795599055,274153.17817447725,0.6214352929498578,0.3952201070108709,0.25078444127597815,1.7324601442273582e-20,0.0,0.00024068698389521312,0.0,0.11199300147368631,0.0015083918599864982
mesa_model_0001_profile_01,0.1820286075389444,1.0,0.0004427943676188106,273560.69356517156,0.6214387101567639,0.3952099003528203,0.192223430032771,1.6655895345542273e-20,0.0,0.0002424469993655399,0.0,0.11199300147368631,0.0015083420374793013
mesa_model_0001_profile_01,0.18402853759386142,1.0,0.00044132140906724085,272962.81348000804,0.6214421488919657,0.39519949324170045,0.2943653156843918,1.6005422648161497e-20,0.0,0.0002435919058928613,0.0,0.11199300147368631,0.0015082916173804071
mesa_model_0001_profile_01,0.18602846764877842,1.0,0.00043983694641390285,272359.57773051335,0.6214456004319501,0.3951888854255026,0.4112588599879125,1.5373069253726774e-20,0.0,0.0002441247521876226,0.03139320436658382,0.11199300147368631,0.0015082405929206031
mesa_model_0001_profile_01,0.18802839770369542,1.0,0.0004383411202110953,271751.0252122845,0.6214490561909926,0.395178076692037,0.4480930839225709,1.4758702103632147e-20,0.0,0.0002440616370588012,0.10311715969559324,0.11199300147368631,0.0015081889576753391
mesa_model_0001_profile_01,0.19002832775861242,1.0,0.00043683406645145706,271137.1926862269,0.6214525079045028,0.3951670669219174,0.4292459541606028,1.4162143945424586e-20,0.0,0.00024341534579265772,0.06624703988362488,0.11199300147368631,0.001508136706346433
mesa_model_0001_profile_01,0.19202825781352945,1.0,0.0004353159204793341,270518.11660973524,0.6214559473535501,0.39515585600895264,0.39604173922179664,1.3583211243163335e-20,0.0,0.00024218278825510807,0.0017178446468527479,0.11199300147368631,0.0015080838335535033
mesa_model_0001_profile_01,0.19402818786844644,1.0,0.00043378681856944305,269893.8337111907,0.6214593661767922,0.39514444394275283,0.38192686326101666,1.3021714193190004e-20,0.0,0.00024033706741766867,0.0,0.11199300147368631,0.0015080303342880274
mesa_model_0001_profile_01,0.19602811792336344,1.0,0.00043224690115835725,269264.38193118805,0.6214627553758353,0.3951328311414792,0.3851075348755697,1.2477434954262259e-20,0.0,0.00023785042722145497,0.0,0.11199300147368631,0.0015079762061905285
mesa_model_0001_profile_01,0.19802804797828047,1.0,0.0004306963098459314,268629.7995491482,0.6214661057742229,0.3951210181430771,0.3939399643294502,1.1950147848348174e-20,0.0,0.00023471457070571076,0.0,0.11199300147368631,0.0015079214475605856
mesa_model_0001_profile_01,0.20002797803319747,1.0,0.0004291351864370365,267990.12487545464,0.6214694081214925,0.39510900548094413,0.39829715234758245,1.1439623462483023e-20,0.0,0.00023091077576889622,0.006121027908556277,0.11199300147368631,0.0015078660568865717
mesa_model_0001_profile_01,0.20202790808811447,1.0,0.00042756367403692935,267345.39641683584,0.6214726526977009,0.3950967936595862,0.39767829451870285,1.0945608689667679e-20,0.0,0.0002264167551288961,0.004943917537971896,0.11199300147368631,0.0015078100345115133
mesa_model_0001_profile_01,0.20402783814303146,1.0,0.0004259819162592416,266695.6527567795,0.6214758295993653,0.3950843831722149,0.395345865161384,1.0467841159922499e-20,0.0,0.00022121626483182074,0.0004995177220933902,0.11199300147368631,0.0015077533815003492
mesa_model_0001_profile_01,0.2060277681979485,1.0,0.00042439005701860264,266040.9325356651,0.6214789286299593,0.39507177448844033,0.39417019422358335,1.0006055934242036e-20,0.0,0.00021523011635323243,0.0,0.11199300147368631,0.0015076960992970064
mesa_model_0001_profile_01,0.2080276982528655,1.0,0.000422788242236259,265381.27477344126,0.6214819376345584,0.3950589679200937,0.3943389928159839,9.559971023163092e-21,0.0,0.00020836223377832802,0.0,0.11199300147368631,0.0015076381919748693
